DATE SNWD SNOW
20140101 203 0
20140102 203 0
20140103 203 0
20140104 229 25
20140105 229 0
20140106 229 0
20140107 229 0
20140108 229 0
20140109 229 0
20140110 229 0
20140111 229 0
20140112 229 0
20140113 203 0
20140114 305 86
20140115 279 10
20140116 279 5
20140117 279 0
20140118 381 102
20140119 356 0
20140120 330 0
20140121 330 5
20140122 356 33
20140123 330 0
20140124 330 0
20140125 330 33
20140126 381 64
20140127 381 3
20140128 356 0
20140129 356 0
20140130 432 107
20140131 457 46
20140201 432 0
20140202 432 0
20140203 406 0
20140204 406 0
20140205 406 0
20140206 406 0
20140207 406 0
20140208 406 0
20140209 406 0
20140210 406 0
20140211 406 0
20140212 406 10
20140213 406 5
20140214 406 0
20140215 406 0
20140216 432 25
20140217 432 0
20140218 483 53
20140219 457 0
20140220 457 0
20140221 635 246
20140222 610 0
20140223 584 0
20140224 559 0
20140225 559 8
20140226 559 0
20140227 559 0
20140228 559 0
20140301 559 8
20140302 559 0
20140303 559 0
20140304 584 10
20140305 559 0
20140306 559 0
20140307 559 0
20140308 559 0
20140309 533 0
20140310 483 0
20140311 457 0
20140312 381 0
20140313 356 0
20140314 305 0
20140315 279 0
20140316 254 0
20140317 254 0
20140318 254 5
20140319 305 74
20140320 279 0
20140321 254 0
20140322 229 0
20140323 229 0
20140324 229 0
20140325 229 0
20140326 229 0
20140327 203 0
20140328 152 13
20140329 76 0
20140330 51 0
20140331 0 0
20140401 0 0
20140402 0 3
20140403 0 0
20140404 229 239
20140405 102 5
20140406 51 0
20140407 0 0
20140408 0 0
20140409 0 0
20140410 0 0
20140411 0 0
20140412 0 0
20140413 0 0
20140414 0 0
20140415 0 0
20140416 0 0
20140417 51 61
20140418 0 0
20140419 0 0
20140420 0 0
20140421 0 0
20140422 0 0
20140423 0 0
20140424 0 0
20140425 0 0
20140426 0 0
20140427 0 0
20140428 0 0
20140429 0 0
20140430 0 0
20140501 0 0
20140502 0 0
20140503 0 0
20140504 0 0
20140505 0 0
20140506 0 0
20140507 0 0
20140508 0 0
20140509 0 0
20140510 0 0
20140511 0 0
20140512 0 0
20140513 0 0
20140514 0 0
20140515 0 0
20140516 0 0
20140517 0 0
20140518 0 0
20140519 0 0
20140520 0 0
20140521 0 0
20140522 0 0
20140523 0 0
20140524 0 0
20140525 0 0
20140526 0 0
20140527 0 0
20140528 0 0
20140529 0 0
20140530 0 0
20140531 0 0
20140601 0 0
20140602 0 0
20140603 0 0
20140604 0 0
20140605 0 0
20140606 0 0
20140607 0 0
20140608 0 0
20140609 0 0
20140610 0 0
20140611 0 0
20140612 0 0
20140613 0 0
20140614 0 0
20140615 0 0
20140616 0 0
20140617 0 0
20140618 0 0
20140619 0 0
20140620 0 0
20140621 0 0
20140622 0 0
20140623 0 0
20140624 0 0
20140625 0 0
20140626 0 0
20140627 0 0
20140628 0 0
20140629 0 0
20140630 0 0
20140701 0 0
20140702 0 0
20140703 0 0
20140704 0 0
20140705 0 0
20140706 0 0
20140707 0 0
20140708 0 0
20140709 0 0
20140710 0 0
20140711 0 0
20140712 0 0
20140713 0 0
20140714 0 0
20140715 0 0
20140716 0 0
20140717 0 0
20140718 0 0
20140719 0 0
20140720 0 0
20140721 0 0
20140722 0 0
20140723 0 0
20140724 0 0
20140725 0 0
20140726 0 0
20140727 0 0
20140728 0 0
20140729 0 0
20140730 0 0
20140731 0 0
20140801 0 0
